epoch_step,epoch,total_epochs,box_loss,cls_loss,dfl_loss,precision,recall,map50,map50_95
274/500,274,500,1.016758,0.633231,1.014857,0.940780,0.870180,0.927190,0.658380
275/500,275,500,0.995933,0.620193,1.012121,0.940350,0.871270,0.926760,0.659000
276/500,276,500,1.006704,0.627591,1.015919,0.942400,0.870900,0.927640,0.659170
277/500,277,500,0.997513,0.614986,1.010469,0.943820,0.872470,0.928700,0.659730
278/500,278,500,1.002596,0.622346,1.013963,0.946000,0.868280,0.929510,0.660150
279/500,279,500,1.000138,0.619860,1.010611,0.946640,0.866160,0.928460,0.660480
280/500,280,500,0.990301,0.623981,1.006657,0.946280,0.865810,0.927790,0.660620
281/500,281,500,0.991010,0.627916,1.010309,0.947510,0.864920,0.928370,0.661440
282/500,282,500,1.000886,0.625056,1.014494,0.947390,0.866990,0.929140,0.661550
283/500,283,500,1.003837,0.629118,1.016856,0.944450,0.868670,0.929140,0.661560
284/500,284,500,0.993634,0.622289,1.011655,0.946040,0.868440,0.929090,0.662090
285/500,285,500,0.998595,0.621401,1.012324,0.947790,0.866020,0.928430,0.662160
286/500,286,500,0.992692,0.615768,1.013720,0.948460,0.867610,0.929390,0.662820
287/500,287,500,0.993315,0.622806,1.007265,0.949330,0.867330,0.929240,0.662600
288/500,288,500,0.997534,0.618203,1.014673,0.948640,0.866760,0.928990,0.662730
289/500,289,500,0.988325,0.617807,1.006974,0.947640,0.867590,0.928920,0.663260
290/500,290,500,0.986911,0.606969,1.007860,0.949950,0.867690,0.929180,0.663080
291/500,291,500,0.985024,0.615467,1.008612,0.950920,0.866880,0.929590,0.663250
292/500,292,500,0.979317,0.611742,1.007359,0.951990,0.866770,0.929600,0.663520
293/500,293,500,0.989591,0.613083,1.007873,0.951770,0.867070,0.930120,0.663840
294/500,294,500,0.984519,0.612293,1.009000,0.950370,0.867180,0.930520,0.663760
295/500,295,500,0.992778,0.622887,1.008230,0.949570,0.867200,0.930450,0.664310
296/500,296,500,0.991980,0.618914,1.011989,0.951160,0.867720,0.930940,0.663990
297/500,297,500,0.995693,0.618030,1.011424,0.951300,0.868120,0.930300,0.663900
298/500,298,500,0.989445,0.611758,1.009881,0.951080,0.868810,0.930200,0.664100
299/500,299,500,0.988280,0.607372,1.006605,0.950250,0.870310,0.930540,0.664340
300/500,300,500,0.993045,0.619098,1.005424,0.950300,0.871550,0.930860,0.664690
301/500,301,500,0.981611,0.611682,1.005163,0.951070,0.870090,0.930480,0.665080
302/500,302,500,0.984463,0.610418,1.005479,0.950090,0.869890,0.930520,0.665350
303/500,303,500,0.979840,0.604554,1.007691,0.949370,0.870920,0.930350,0.665470
304/500,304,500,0.985493,0.612131,1.010002,0.949670,0.870720,0.930370,0.665760
305/500,305,500,0.999012,0.617875,1.007568,0.950170,0.870100,0.930210,0.665960
306/500,306,500,0.986460,0.616379,1.004961,0.949470,0.869890,0.929800,0.665940
307/500,307,500,0.986727,0.618107,1.007874,0.948460,0.869680,0.930010,0.665980
308/500,308,500,0.990912,0.607267,1.003044,0.947650,0.870010,0.929990,0.666290
309/500,309,500,0.976919,0.606177,1.006170,0.946830,0.869680,0.929960,0.666040
310/500,310,500,0.987682,0.607128,1.005723,0.947650,0.869890,0.930400,0.666390
311/500,311,500,0.988651,0.610871,1.007341,0.947610,0.870540,0.930370,0.666250
312/500,312,500,0.981260,0.602289,1.001569,0.947150,0.870240,0.930670,0.666330
313/500,313,500,0.972208,0.605531,1.004066,0.947390,0.869830,0.930590,0.666370
314/500,314,500,0.969861,0.594207,1.001605,0.947380,0.869810,0.930420,0.666460
315/500,315,500,0.981246,0.604796,1.008927,0.947770,0.869470,0.930260,0.666440
316/500,316,500,0.979310,0.603385,1.003253,0.948110,0.871010,0.930340,0.666700
317/500,317,500,0.974796,0.602974,1.001680,0.947670,0.872240,0.930550,0.666070
318/500,318,500,0.979258,0.604867,1.006349,0.948470,0.868800,0.930430,0.666390
319/500,319,500,0.982246,0.613023,1.008480,0.948910,0.868940,0.930600,0.666540
320/500,320,500,0.979209,0.603312,1.004599,0.949140,0.870210,0.930670,0.666330
321/500,321,500,0.977029,0.593331,1.003039,0.948690,0.870530,0.931150,0.666080
322/500,322,500,0.970516,0.602484,1.001451,0.948870,0.869930,0.930960,0.666140
323/500,323,500,0.974449,0.599783,1.002687,0.948760,0.870450,0.931090,0.666290
324/500,324,500,0.972135,0.595365,1.000335,0.945370,0.874790,0.931070,0.666010
325/500,325,500,0.980316,0.594704,1.004219,0.946080,0.874660,0.931540,0.666530
326/500,326,500,0.974239,0.605056,1.003991,0.945330,0.874900,0.931400,0.666700
327/500,327,500,0.973891,0.589745,1.004155,0.945560,0.874900,0.931830,0.666490
328/500,328,500,0.962498,0.591426,1.000588,0.944940,0.876180,0.931910,0.666430
329/500,329,500,0.971659,0.601345,0.999995,0.946170,0.874920,0.931800,0.666680
330/500,330,500,0.962811,0.588541,0.999252,0.945400,0.873920,0.931660,0.667250
331/500,331,500,0.967371,0.594273,0.998777,0.945620,0.873520,0.931400,0.667300
332/500,332,500,0.970249,0.592120,0.995143,0.944620,0.874700,0.931260,0.667100
333/500,333,500,0.960704,0.585873,1.000588,0.945070,0.873380,0.931070,0.666710
334/500,334,500,0.963123,0.589194,1.001115,0.944790,0.872380,0.930760,0.666700
335/500,335,500,0.958710,0.584560,0.993979,0.945830,0.871470,0.930910,0.666700
336/500,336,500,0.964795,0.594432,0.998917,0.947970,0.870760,0.931100,0.666910
337/500,337,500,0.959598,0.591521,0.995837,0.947070,0.872120,0.931110,0.666580
338/500,338,500,0.960493,0.590807,0.998687,0.948080,0.872270,0.931360,0.666970
339/500,339,500,0.965470,0.586069,0.995989,0.950150,0.871410,0.931320,0.666300
340/500,340,500,0.963944,0.588628,1.000746,0.947840,0.872770,0.930880,0.666600
341/500,341,500,0.967672,0.594581,0.997224,0.948200,0.872440,0.931000,0.666370
342/500,342,500,0.960975,0.585180,0.998547,0.946910,0.873090,0.931030,0.666530
343/500,343,500,0.967261,0.592117,0.994410,0.947840,0.872880,0.930720,0.666010
344/500,344,500,0.966705,0.592405,0.998403,0.947420,0.873090,0.930670,0.666000
