epoch_step,epoch,total_epochs,box_loss,cls_loss,dfl_loss,precision,recall,map50,map50_95
74/200,74,200,1.152000,0.782552,1.079844,0.934320,0.840470,0.906810,0.627880
75/200,75,200,1.131521,0.757589,1.074624,0.935840,0.839290,0.906780,0.627870
76/200,76,200,1.138407,0.768063,1.075932,0.936770,0.839270,0.906860,0.628190
77/200,77,200,1.125779,0.748998,1.070810,0.936070,0.840050,0.907510,0.628620
78/200,78,200,1.126171,0.759263,1.073059,0.938060,0.840220,0.907590,0.627900
79/200,79,200,1.126491,0.756770,1.068219,0.940290,0.839010,0.907810,0.628250
80/200,80,200,1.115317,0.756429,1.067091,0.940280,0.839230,0.907570,0.628190
81/200,81,200,1.117094,0.755941,1.068365,0.940920,0.837550,0.908040,0.629320
82/200,82,200,1.121675,0.751775,1.073372,0.939830,0.836430,0.907150,0.629040
83/200,83,200,1.129514,0.760454,1.075116,0.938780,0.837520,0.907600,0.630240
84/200,84,200,1.115438,0.752301,1.071749,0.939930,0.837320,0.907820,0.630090
85/200,85,200,1.112773,0.747667,1.066170,0.940200,0.838790,0.908450,0.630890
86/200,86,200,1.110089,0.740728,1.064838,0.940930,0.838790,0.908300,0.631240
87/200,87,200,1.111683,0.744014,1.062905,0.940480,0.839230,0.908390,0.630750
88/200,88,200,1.110228,0.736393,1.066932,0.939880,0.839940,0.909180,0.631210
89/200,89,200,1.106606,0.734801,1.060454,0.940790,0.840430,0.909340,0.631510
90/200,90,200,1.100184,0.733476,1.062254,0.942410,0.841320,0.910280,0.631520
91/200,91,200,1.099515,0.734167,1.060878,0.942980,0.839090,0.909960,0.632040
92/200,92,200,1.090948,0.725387,1.060128,0.942380,0.839720,0.909980,0.632940
93/200,93,200,1.098891,0.727504,1.059606,0.941840,0.840710,0.910240,0.633200
94/200,94,200,1.096513,0.721963,1.062013,0.941000,0.841040,0.910510,0.633540
95/200,95,200,1.102932,0.732663,1.059677,0.939380,0.841340,0.910180,0.634290
96/200,96,200,1.094182,0.728777,1.059193,0.937800,0.842770,0.910910,0.634220
97/200,97,200,1.102218,0.728413,1.058556,0.938640,0.842740,0.910560,0.634500
98/200,98,200,1.093280,0.718880,1.055848,0.939130,0.844020,0.910850,0.635090
99/200,99,200,1.095140,0.716459,1.056642,0.941230,0.843650,0.910950,0.634700
100/200,100,200,1.095655,0.724423,1.055584,0.940490,0.843390,0.911100,0.635170
101/200,101,200,1.086759,0.708543,1.053952,0.941940,0.844260,0.910970,0.635850
102/200,102,200,1.090792,0.715641,1.049932,0.940550,0.845410,0.911130,0.635690
103/200,103,200,1.077456,0.706837,1.051507,0.940150,0.845620,0.911040,0.636290
104/200,104,200,1.094775,0.713147,1.058331,0.940510,0.846180,0.911170,0.636350
105/200,105,200,1.100155,0.722934,1.052680,0.938690,0.846580,0.911130,0.636620
106/200,106,200,1.083024,0.711914,1.050590,0.939570,0.847070,0.911460,0.637180
107/200,107,200,1.083759,0.720745,1.051522,0.938520,0.846990,0.911980,0.637240
108/200,108,200,1.085961,0.706554,1.045435,0.939290,0.846300,0.912240,0.637650
109/200,109,200,1.071657,0.703787,1.046737,0.939010,0.847180,0.912410,0.637890
110/200,110,200,1.085396,0.705627,1.050324,0.938390,0.846770,0.912160,0.638240
111/200,111,200,1.084656,0.709213,1.048896,0.939850,0.848040,0.912380,0.638110
112/200,112,200,1.067564,0.693193,1.040475,0.938840,0.848800,0.912470,0.638570
113/200,113,200,1.060743,0.699461,1.043275,0.940190,0.848210,0.912650,0.638410
114/200,114,200,1.063262,0.691920,1.044521,0.939950,0.849050,0.912890,0.638300
115/200,115,200,1.077396,0.695357,1.050633,0.939050,0.848640,0.913000,0.639170
116/200,116,200,1.068748,0.696252,1.042467,0.939540,0.848900,0.913230,0.639780
117/200,117,200,1.062312,0.690737,1.040638,0.940200,0.848390,0.912840,0.639510
118/200,118,200,1.063809,0.695870,1.043845,0.941510,0.848500,0.913040,0.639340
119/200,119,200,1.069440,0.696247,1.046876,0.940840,0.849130,0.912930,0.639450
120/200,120,200,1.068383,0.693108,1.047041,0.939080,0.850630,0.912930,0.639710
121/200,121,200,1.063826,0.681306,1.042454,0.939310,0.850770,0.913160,0.639910
122/200,122,200,1.059331,0.685820,1.040693,0.939760,0.850970,0.913530,0.639960
123/200,123,200,1.058228,0.680589,1.040456,0.939000,0.850810,0.913230,0.639990
124/200,124,200,1.057399,0.671461,1.036779,0.940160,0.848320,0.913310,0.640840
125/200,125,200,1.059200,0.673935,1.039650,0.940050,0.849180,0.913690,0.641460
126/200,126,200,1.051567,0.684108,1.039053,0.940360,0.849540,0.913640,0.641230
127/200,127,200,1.053404,0.673010,1.038887,0.939900,0.849780,0.913440,0.641530
128/200,128,200,1.041902,0.672840,1.036376,0.938830,0.850140,0.913640,0.641390
129/200,129,200,1.048045,0.676812,1.035488,0.938780,0.849610,0.913570,0.641800
130/200,130,200,1.038073,0.664957,1.032414,0.938410,0.850110,0.913830,0.641780
131/200,131,200,1.038390,0.671588,1.029357,0.937570,0.850820,0.914120,0.642100
132/200,132,200,1.042542,0.668080,1.030204,0.938380,0.850130,0.914190,0.642470
133/200,133,200,1.035752,0.652864,1.033292,0.940020,0.850140,0.914630,0.642750
134/200,134,200,1.039633,0.660535,1.033158,0.940540,0.849820,0.914710,0.643400
135/200,135,200,1.023114,0.652363,1.023623,0.940750,0.849850,0.915100,0.643380
136/200,136,200,1.039413,0.659672,1.031632,0.941870,0.849970,0.915050,0.643690
137/200,137,200,1.029842,0.656632,1.025760,0.941670,0.850540,0.915410,0.643780
138/200,138,200,1.032857,0.664303,1.034040,0.941030,0.851400,0.915300,0.643940
139/200,139,200,1.031241,0.653564,1.025120,0.942150,0.852380,0.915940,0.644080
140/200,140,200,1.028459,0.657574,1.030386,0.942000,0.852110,0.915500,0.643990
141/200,141,200,1.031577,0.656685,1.025578,0.941910,0.851660,0.915440,0.644320
142/200,142,200,1.019208,0.647632,1.024428,0.941200,0.852300,0.915320,0.644200
143/200,143,200,1.024161,0.654681,1.021206,0.940590,0.852410,0.915480,0.644460
144/200,144,200,1.027444,0.654863,1.024943,0.941480,0.852470,0.916230,0.644660
145/200,145,200,1.010957,0.643498,1.019410,0.941940,0.852140,0.916230,0.644860
146/200,146,200,1.012667,0.645553,1.020698,0.942480,0.851980,0.916400,0.645200
147/200,147,200,1.015463,0.646206,1.020485,0.941090,0.852680,0.916590,0.645610
148/200,148,200,1.003260,0.638365,1.016184,0.942360,0.852150,0.916590,0.645800
149/200,149,200,1.002643,0.637579,1.018239,0.941700,0.851970,0.916630,0.646390
150/200,150,200,1.011087,0.647862,1.022400,0.941710,0.852380,0.916830,0.646540
151/200,151,200,1.012055,0.631596,1.019859,0.942080,0.852590,0.916880,0.646780
152/200,152,200,1.013500,0.641575,1.018388,0.941180,0.852370,0.916860,0.646810
153/200,153,200,1.006912,0.629062,1.013057,0.941850,0.852780,0.916850,0.647150
154/200,154,200,0.998340,0.624354,1.012206,0.939570,0.854390,0.917030,0.647010
155/200,155,200,1.001342,0.628022,1.018454,0.941010,0.854510,0.917760,0.647360
156/200,156,200,0.996708,0.623857,1.016725,0.941170,0.854780,0.917760,0.648010
